filename, dx, dy, angle, scale
Images/SPI-AOI-TEST-0000.jpeg,35,-25,-24.3674,1.06528
Images/SPI-AOI-TEST-0001.jpeg,-27,-49,7.03819,1.09098
Images/SPI-AOI-TEST-0002.jpeg,-22,-43,-4.11525,1.07939
Images/SPI-AOI-TEST-0003.jpeg,36,6,25.9662,0.986133
Images/SPI-AOI-TEST-0004.jpeg,13,-3,29.5416,1.0869
Images/SPI-AOI-TEST-0005.jpeg,-44,-22,-13.5831,0.954887
Images/SPI-AOI-TEST-0006.jpeg,18,16,25.57,0.911292
Images/SPI-AOI-TEST-0007.jpeg,4,-11,10.7741,0.948644
Images/SPI-AOI-TEST-0008.jpeg,-20,10,0.779165,0.976704
Images/SPI-AOI-TEST-0009.jpeg,-40,-21,21.9517,1.00957
Images/SPI-AOI-TEST-0010.jpeg,-41,-24,0.10438,0.908144
Images/SPI-AOI-TEST-0011.jpeg,35,43,-24.5899,0.962125
Images/SPI-AOI-TEST-0012.jpeg,-27,25,-28.5561,0.933843
Images/SPI-AOI-TEST-0013.jpeg,-13,42,-20.8776,1.09337
Images/SPI-AOI-TEST-0014.jpeg,-26,-36,-8.68388,0.902058
Images/SPI-AOI-TEST-0015.jpeg,-22,-25,23.8542,1.0042
Images/SPI-AOI-TEST-0016.jpeg,48,27,-12.0238,0.997662
Images/SPI-AOI-TEST-0017.jpeg,0,50,27.9629,0.927401
Images/SPI-AOI-TEST-0018.jpeg,-35,13,29.3575,0.901706
Images/SPI-AOI-TEST-0019.jpeg,-29,-23,3.83239,1.04722
Images/SPI-AOI-TEST-0020.jpeg,36,17,-29.7628,1.05621
Images/SPI-AOI-TEST-0021.jpeg,42,28,-20.2499,1.07675
Images/SPI-AOI-TEST-0022.jpeg,28,-5,-20.844,1.04145
Images/SPI-AOI-TEST-0023.jpeg,13,9,26.2725,0.941904
Images/SPI-AOI-TEST-0024.jpeg,28,13,-2.84934,1.08909
Images/SPI-AOI-TEST-0025.jpeg,-37,-36,1.39187,0.964732
Images/SPI-AOI-TEST-0026.jpeg,8,38,26.8486,0.955302
Images/SPI-AOI-TEST-0027.jpeg,36,15,-6.49303,0.971672
Images/SPI-AOI-TEST-0028.jpeg,-37,32,-14.6944,0.931904
Images/SPI-AOI-TEST-0029.jpeg,27,17,-2.49886,1.05627
Images/SPI-AOI-TEST-0030.jpeg,-19,-19,13.8062,1.03716
Images/SPI-AOI-TEST-0031.jpeg,19,-40,-18.6666,1.04259
Images/SPI-AOI-TEST-0032.jpeg,7,-1,13.3024,0.924278
Images/SPI-AOI-TEST-0033.jpeg,-6,30,18.581,1.01533
Images/SPI-AOI-TEST-0034.jpeg,42,17,21.0852,0.914258
Images/SPI-AOI-TEST-0035.jpeg,12,43,15.7872,1.01428
Images/SPI-AOI-TEST-0036.jpeg,35,-28,15.347,0.98269
Images/SPI-AOI-TEST-0037.jpeg,-28,12,11.0834,1.06488
Images/SPI-AOI-TEST-0038.jpeg,-38,9,27.4923,1.00501
Images/SPI-AOI-TEST-0039.jpeg,-6,-3,-13.1905,0.945261
Images/SPI-AOI-TEST-0040.jpeg,19,-13,22.7565,1.09071
Images/SPI-AOI-TEST-0041.jpeg,-19,-20,21.3186,0.955316
Images/SPI-AOI-TEST-0042.jpeg,19,10,3.89197,0.931839
Images/SPI-AOI-TEST-0043.jpeg,8,5,-5.86713,1.07579
Images/SPI-AOI-TEST-0044.jpeg,37,42,17.6129,1.09339
Images/SPI-AOI-TEST-0045.jpeg,25,19,6.77422,1.02193
Images/SPI-AOI-TEST-0046.jpeg,-28,-46,5.52832,0.921534
Images/SPI-AOI-TEST-0047.jpeg,3,-4,-24.3061,0.916137
Images/SPI-AOI-TEST-0048.jpeg,-20,-42,-1.38815,0.960719
Images/SPI-AOI-TEST-0049.jpeg,-8,-14,-27.8166,0.936741
Images/SPI-AOI-TEST-0050.jpeg,50,27,-15.2228,0.905006
Images/SPI-AOI-TEST-0051.jpeg,-23,12,10.9208,0.975148
Images/SPI-AOI-TEST-0052.jpeg,-49,25,2.63942,0.956877
Images/SPI-AOI-TEST-0053.jpeg,-29,-3,-10.9924,1.02182
Images/SPI-AOI-TEST-0054.jpeg,43,-4,-11.9012,0.954163
Images/SPI-AOI-TEST-0055.jpeg,-11,9,-8.57455,1.07062
Images/SPI-AOI-TEST-0056.jpeg,-44,1,10.1837,0.978394
Images/SPI-AOI-TEST-0057.jpeg,-29,-23,-27.6549,1.00802
Images/SPI-AOI-TEST-0058.jpeg,20,-26,-3.48199,0.923005
Images/SPI-AOI-TEST-0059.jpeg,-21,-38,-23.2793,1.09348
Images/SPI-AOI-TEST-0060.jpeg,8,-26,-5.53325,0.979177
Images/SPI-AOI-TEST-0061.jpeg,38,-44,-6.66817,1.05503
Images/SPI-AOI-TEST-0062.jpeg,34,49,-19.6823,1.06586
Images/SPI-AOI-TEST-0063.jpeg,25,38,23.173,0.950866
Images/SPI-AOI-TEST-0064.jpeg,-47,50,-26.7798,0.942454
Images/SPI-AOI-TEST-0065.jpeg,7,31,-28.3513,0.909742
Images/SPI-AOI-TEST-0066.jpeg,18,-18,-14.2601,0.983627
Images/SPI-AOI-TEST-0067.jpeg,23,-33,11.5192,0.93326
Images/SPI-AOI-TEST-0068.jpeg,42,-46,13.5029,0.918396
Images/SPI-AOI-TEST-0069.jpeg,7,-23,-21.6949,0.906103
Images/SPI-AOI-TEST-0070.jpeg,23,-4,5.58452,0.97565
Images/SPI-AOI-TEST-0071.jpeg,-5,-42,-28.1847,0.939599
Images/SPI-AOI-TEST-0072.jpeg,-23,-6,29.4178,1.08998
Images/SPI-AOI-TEST-0073.jpeg,25,32,-9.03822,1.0898
Images/SPI-AOI-TEST-0074.jpeg,31,-29,-26.4115,0.931485
Images/SPI-AOI-TEST-0075.jpeg,43,38,-21.8111,0.90792
Images/SPI-AOI-TEST-0076.jpeg,21,-30,25.5451,0.984232
Images/SPI-AOI-TEST-0077.jpeg,-33,22,-5.53389,1.0132
Images/SPI-AOI-TEST-0078.jpeg,35,-28,20.8698,0.922192
Images/SPI-AOI-TEST-0079.jpeg,-33,27,0.686347,1.09255
Images/SPI-AOI-TEST-0080.jpeg,-41,-19,-14.4997,1.05811
Images/SPI-AOI-TEST-0081.jpeg,11,-37,-18.0281,1.03772
