epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1089.63,2.10025,2.80491,1.34805,0.79631,0.71152,0.80152,0.37037,1.35925,5.34587,0.92857,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709
2,2622.4,1.84136,1.27145,1.18519,0.75486,0.77263,0.81123,0.36285,1.37237,31.8287,0.93253,0.0197835,0.00659449,0.0197835,0.00659449,0.0197835,0.00659449,0.0197835,0.00659449
3,3604.19,1.89086,1.33396,1.21971,0.62378,0.80972,0.66689,0.27572,1.45326,38.9495,0.9701,0.0293876,0.00979588,0.0293876,0.00979588,0.0293876,0.00979588,0.0293876,0.00979588
4,4823.42,1.88228,1.31527,1.21081,0.79742,0.83923,0.85784,0.41045,1.32888,22.8618,0.91234,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5898.69,1.82852,1.16613,1.18271,0.85241,0.86309,0.90219,0.42867,1.33745,13.2042,0.91545,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,7243.74,1.78961,1.06879,1.16286,0.8983,0.83294,0.90807,0.44087,1.33762,3.12965,0.90943,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7978.48,1.75716,1.01984,1.15244,0.93803,0.91508,0.95327,0.46637,1.27985,3.73708,0.8785,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,9036.74,1.72071,0.94724,1.13189,0.9319,0.92768,0.9555,0.47972,1.27483,11.3075,0.87886,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,10052,1.70091,0.91572,1.12514,0.95896,0.93756,0.97132,0.49932,1.24959,2.21366,0.86322,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,11245.2,1.69771,0.88982,1.12335,0.95382,0.95082,0.96925,0.48215,1.26065,11.4391,0.86782,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12202,1.66854,0.86301,1.10686,0.96609,0.96444,0.97615,0.50523,1.23042,3.4486,0.85769,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,13524.9,1.65271,0.8483,1.10203,0.95892,0.96857,0.97674,0.51895,1.2053,0.78765,0.85309,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,14300.6,1.64154,0.81794,1.09715,0.96738,0.96522,0.97608,0.51558,1.21546,0.98794,0.85317,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,15558.2,1.63284,0.80585,1.09026,0.95208,0.95058,0.97468,0.50334,1.23054,4.57564,0.85645,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,16372,1.61122,0.78816,1.08786,0.96625,0.95033,0.97302,0.51149,1.21326,2.75861,0.85073,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,17551.8,1.60092,0.77647,1.07728,0.95806,0.95009,0.97392,0.5215,1.19783,0.5913,0.84275,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,18585.1,1.59058,0.76751,1.07846,0.97484,0.96802,0.98036,0.52584,1.18726,1.0551,0.84065,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,20008.4,1.58086,0.75485,1.07804,0.95654,0.95846,0.97825,0.52956,1.19851,0.60061,0.84024,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,20795.2,1.58082,0.75344,1.07727,0.96437,0.94547,0.97523,0.52432,1.1874,0.55828,0.84109,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,22124.7,1.55534,0.73959,1.06659,0.97328,0.98267,0.98735,0.53826,1.17327,1.22989,0.83024,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,23001.6,1.57,0.73591,1.07181,0.97218,0.97026,0.98376,0.53605,1.17748,0.54106,0.83796,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,24195.6,1.55118,0.73129,1.06205,0.97633,0.978,0.98655,0.54445,1.15903,0.85182,0.82459,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,25078.1,1.53577,0.71571,1.0528,0.97814,0.98385,0.98606,0.54045,1.16521,0.65964,0.8266,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,25947.8,1.51917,0.7028,1.04969,0.95661,0.96841,0.9819,0.54219,1.16632,6.05501,0.82758,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,26546.7,1.51126,0.6951,1.05026,0.97813,0.98072,0.98583,0.55115,1.15177,0.6292,0.82338,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,27531.8,1.51012,0.69251,1.04412,0.97601,0.98342,0.98369,0.54539,1.15738,0.55119,0.82466,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,28034.2,1.50545,0.69203,1.04659,0.97516,0.9868,0.98605,0.5541,1.14298,0.53208,0.81891,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,28988.8,1.49023,0.68287,1.04195,0.97832,0.98467,0.98693,0.55449,1.13804,0.49832,0.81743,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,30077.5,1.47739,0.67841,1.03676,0.97831,0.98368,0.98835,0.55969,1.13594,0.46183,0.81603,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,31348.2,1.47527,0.67059,1.03989,0.97792,0.9863,0.98719,0.56119,1.13016,0.65988,0.81786,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,32889.4,1.46758,0.67142,1.03489,0.98226,0.98457,0.98816,0.55703,1.13502,0.59718,0.81562,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,33791.7,1.44731,0.65751,1.03331,0.97763,0.98196,0.98578,0.565,1.11911,0.53129,0.81335,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,34500.8,1.4479,0.65015,1.0276,0.97894,0.98804,0.98746,0.56729,1.11844,0.46653,0.8084,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,35514.9,1.44325,0.64509,1.02726,0.97783,0.9857,0.9866,0.56557,1.11315,0.48472,0.81082,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,36431.2,1.43164,0.64636,1.02118,0.97981,0.98677,0.98644,0.56701,1.1093,0.47498,0.80498,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,37421.2,1.4163,0.63764,1.0203,0.97931,0.98876,0.98695,0.56827,1.10353,0.48062,0.80688,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,38338.2,1.39721,0.62539,1.01177,0.97837,0.99051,0.98714,0.57382,1.10579,0.44957,0.8063,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,39360.9,1.40223,0.62854,1.0196,0.9792,0.98975,0.98877,0.577,1.09533,0.47669,0.80217,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,40144.4,1.39037,0.62072,1.01296,0.97918,0.99103,0.98924,0.58047,1.08872,0.49824,0.79977,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,41246.5,1.38001,0.61327,1.01028,0.97699,0.99171,0.98814,0.58602,1.08005,0.44998,0.79811,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,42045.3,1.37685,0.61601,1.00934,0.98258,0.99043,0.99013,0.58502,1.07504,0.43805,0.79393,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,43264.3,1.36922,0.61099,1.00627,0.98099,0.99103,0.98985,0.58764,1.06705,0.47736,0.79209,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,44432.5,1.35036,0.59922,0.99746,0.98309,0.98819,0.99039,0.58531,1.07408,0.44288,0.79301,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,46002.5,1.34149,0.59393,0.99703,0.97989,0.98952,0.98941,0.58893,1.07041,0.47244,0.79357,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,47342.7,1.32473,0.59282,0.99504,0.98375,0.99263,0.99195,0.59085,1.06288,0.43776,0.79021,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,48849.7,1.32047,0.58749,0.99256,0.98126,0.99129,0.99135,0.59354,1.05446,0.48292,0.78862,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,49743.6,1.31911,0.58806,0.9905,0.98206,0.99238,0.99205,0.59959,1.05483,0.43989,0.78829,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,51149.6,1.29359,0.58032,0.98303,0.97951,0.99145,0.99058,0.59692,1.05494,0.42675,0.7873,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,52074.1,1.28941,0.57145,0.98149,0.98146,0.99305,0.99117,0.60299,1.03538,0.4041,0.78193,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,53396.5,1.28329,0.57387,0.98342,0.98139,0.99078,0.99121,0.60256,1.04159,0.39866,0.78386,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,54731.5,1.27888,0.5731,0.97836,0.98137,0.99183,0.99095,0.60023,1.04566,0.40256,0.78467,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,56212.9,1.25635,0.56113,0.97422,0.98262,0.9916,0.99109,0.60326,1.02988,0.40655,0.77917,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
